# kwatch config metadata v1
runtimeMetricsMonitor.cpuCriticalPercent|Monitors|CPU usage critical percentage when metrics.k8s.io is available.|active|
clusterAutoscalerMonitor.enabled|Monitors|Watch built-in cluster-autoscaler evidence from Kubernetes resources and events.|active|
tlsMonitor.threshold|Monitors|Days before certificate expiry to warn.|active|
tlsMonitor.criticalThreshold|Monitors|Days before certificate expiry for a critical alert.|active|
controlPlaneMonitor.intervalSeconds|Monitors|Seconds between API and control-plane health checks.|active|
controlPlaneMonitor.apiServerLatencyWarningMs|Monitors|API readyz latency warning threshold in milliseconds.|active|
controlPlaneMonitor.failureThreshold|Monitors|Consecutive control-plane failures before alerting.|active|
controlPlaneMonitor.recoveryThreshold|Monitors|Consecutive successful checks before resolving.|active|
kubeletTelemetryMonitor.enabled|Monitors|Read built-in kubelet telemetry without an agent.|active|
kubeletTelemetryMonitor.intervalSeconds|Monitors|Seconds between built-in kubelet telemetry sweeps.|active|
kubeletTelemetryMonitor.persistState|Monitors|Persist telemetry counters across restarts.|active|
kubeletTelemetryMonitor.failureThreshold|Monitors|Consecutive kubelet telemetry failures before alerting.|active|
kubeletTelemetryMonitor.recoveryThreshold|Monitors|Consecutive successful telemetry checks before resolving.|active|
kubeletTelemetryMonitor.memoryWarningPercent|Monitors|Kubelet memory usage warning threshold.|active|
kubeletTelemetryMonitor.memoryCriticalPercent|Monitors|Kubelet memory usage critical threshold.|active|
kubeletTelemetryMonitor.ephemeralStorageWarningPercent|Monitors|Ephemeral-storage usage warning threshold.|active|
kubeletTelemetryMonitor.ephemeralStorageCriticalPercent|Monitors|Ephemeral-storage usage critical threshold.|active|
kubeletTelemetryMonitor.cpuWarningPercent|Monitors|CPU usage warning threshold from kubelet telemetry.|active|
kubeletTelemetryMonitor.cpuCriticalPercent|Monitors|CPU usage critical threshold from kubelet telemetry.|active|
kubeletTelemetryMonitor.cpuThrottlingWarningPercent|Monitors|CPU throttling warning threshold.|active|
kubeletTelemetryMonitor.cpuThrottlingCriticalPercent|Monitors|CPU throttling critical threshold.|active|
kubeletTelemetryMonitor.psiWarningPercent|Monitors|Pressure stall warning threshold.|active|
kubeletTelemetryMonitor.psiCriticalPercent|Monitors|Pressure stall critical threshold.|active|
kubeletTelemetryMonitor.networkErrorRateWarning|Monitors|Network error rate warning threshold.|active|
kubeletTelemetryMonitor.networkErrorRateCritical|Monitors|Network error rate critical threshold.|active|
kubeletTelemetryMonitor.runtimeErrorRateWarning|Monitors|Container runtime error rate warning threshold.|active|
kubeletTelemetryMonitor.runtimeErrorRateCritical|Monitors|Container runtime error rate critical threshold.|active|
tlsMonitor.enabled|Monitors|Watch TLS certificates before expiry; reads certificate Secrets.|active|
activeProbeMonitor.enabled|Monitors|Run explicitly configured application probes.|active|
activeProbeMonitor.intervalSeconds|Monitors|Seconds between active probe rounds.|active|
activeProbeMonitor.timeoutSeconds|Monitors|Timeout for each active probe.|active|
activeProbeMonitor.failureThreshold|Monitors|Consecutive probe failures before alerting.|active|
activeProbeMonitor.recoveryThreshold|Monitors|Consecutive successes before resolving a probe incident.|active|
activeProbeMonitor.autoServices|Monitors|Probe discoverable Service ports automatically; opt in to avoid unexpected traffic.|active|
activeProbeMonitor.http|Monitors|JSON array of HTTP probe targets with optional paths, headers, and latency limits.|active|
activeProbeMonitor.tcp|Monitors|JSON array of TCP probe targets.|active|
activeProbeMonitor.dns|Monitors|JSON array of DNS probe targets.|active|
upgrader.disableUpdateCheck|Operations|Disable the update notification.|active|
telemetry.enabled|Operations|Send the adoption heartbeat.|active|
maintenance.enabled|Operations|Honor maintenance annotations while preserving cluster-level alerts.|active|
maintenance.annotation|Operations|Annotation that marks deliberate maintenance on a resource.|active|
maintenance.untilAnnotation|Operations|Optional annotation containing the maintenance expiry timestamp.|active|
healthCheck.diagnostics|Operations|Expose diagnostic endpoints such as incidents and test-alert.|active|
healthCheck.pprof|Operations|Expose Go profiling endpoints; keep disabled in production.|active|
app.clusterName|Operations|Cluster name shown in notifications.|active|
app.proxyURL|Operations|Optional proxy for outbound provider requests.|active|
app.disableStartupMessage|Operations|Disable the startup notification.|active|
app.logFormatter|Operations|Log output format: text or json.|active|
app.insecureSkipTLSVerify|Security|Skip TLS verification for outbound providers; strongly discouraged.|active|
app.caBundlePath|Security|Path to a mounted PEM bundle for outbound provider TLS.|active|
healthCheck.enabled|Operations|Expose the built-in health endpoint.|active|
healthCheck.port|Operations|Port for health and optional diagnostic endpoints.|active|
healthCheck.diagnosticsToken|Security|Optional Bearer token required for diagnostic endpoints.|active|
crd.enabled|Operations|Watch KwatchConfig and supported CRD status conditions for live changes; enabled by the interactive installer after installing the CRD.|active|
crd.failureConditions|Operations|Additional CRD condition rules such as Ready=False or Degraded=True.|active|
crd.graphReferences|Operations|Optional CRD references used by dependency and impact analysis.|active|
auditLog.enabled|Operations|Write structured incident lifecycle records to the configured audit sink.|active|
auditLog.output|Operations|Audit output: stdout or a supported output sink.|active|
templates|Operations|JSON map of optional reason-specific message templates.|active|
runbooks|Operations|JSON map of reason-to-runbook URLs.|active|
silences|Noise reduction|JSON array of scoped silence rules.|active|
ignoreContainerNames|Compatibility|Legacy container suppression field.|deprecated|silences
ignorePodNames|Compatibility|Legacy pod-name suppression field.|deprecated|silences
ignoreLogPatterns|Compatibility|Legacy log suppression field.|deprecated|silences
ignoreContainerMessages|Compatibility|Legacy container-message suppression field.|deprecated|silences
ignoreNodeReasons|Compatibility|Legacy node-reason suppression field.|deprecated|silences
ignoreNodeMessages|Compatibility|Legacy node-message suppression field.|deprecated|silences
