# kwatch config catalog v1
clusterResourceMonitor.nodeLeaseStaleSeconds|integer|90|Monitors|Seconds without a node lease renewal before reporting a stale heartbeat.|active|
heartbeatMonitor.enabled|boolean|false|Monitors|Send a periodic external dead-man heartbeat.|active|
heartbeatMonitor.interval|integer|300|Monitors|Seconds between heartbeat notifications.|active|
heartbeatMonitor.url|string|empty|Monitors|Optional heartbeat endpoint URL.|active|
scheduleMonitor.enabled|boolean|true|Monitors|Include scheduling delay and unschedulable diagnostics.|active|
oomMonitor.enabled|boolean|true|Monitors|Track repeating OOM kills independently from current pod state.|active|
oomMonitor.threshold|integer|3|Monitors|OOM kills within the window before raising a repeating-OOM incident.|active|
oomMonitor.windowMinutes|integer|60|Monitors|Sliding window used for repeating OOM detection.|active|
pendingPodMonitor.enabled|boolean|true|Monitors|Watch pods that remain Pending.|active|
pendingPodMonitor.threshold|integer|300|Monitors|Seconds a pod may remain Pending before alerting.|active|
notReadyMonitor.enabled|boolean|true|Monitors|Watch running pods that remain not ready.|active|
pdbMonitor.enabled|boolean|true|Monitors|Watch PodDisruptionBudgets that block voluntary disruption.|active|
pdbMonitor.sustainedMinutes|integer|5|Monitors|Minutes a PDB violation must persist before alerting.|active|
nodeResourceMonitor.enabled|boolean|true|Monitors|Watch node overcommit and filesystem/inode pressure.|active|
nodeResourceMonitor.intervalSeconds|integer|300|Monitors|Seconds between node resource checks.|active|
nodeResourceMonitor.cpuWarning|float|2.0|Monitors|CPU requested-to-capacity ratio that raises a warning.|active|
nodeResourceMonitor.cpuCritical|float|4.0|Monitors|CPU requested-to-capacity ratio that raises a critical alert.|active|
nodeResourceMonitor.memWarning|float|2.0|Monitors|Memory requested-to-capacity ratio that raises a warning.|active|
nodeResourceMonitor.memCritical|float|4.0|Monitors|Memory requested-to-capacity ratio that raises a critical alert.|active|
nodeResourceMonitor.filesystemWarningPercent|float|90|Monitors|Node filesystem usage warning threshold.|active|
nodeResourceMonitor.filesystemCriticalPercent|float|95|Monitors|Node filesystem usage critical threshold.|active|
nodeResourceMonitor.inodeWarningPercent|float|90|Monitors|Node inode usage warning threshold.|active|
nodeResourceMonitor.inodeCriticalPercent|float|95|Monitors|Node inode usage critical threshold.|active|
runtimeMetricsMonitor.enabled|boolean|false|Monitors|Use metrics.k8s.io when available for workload usage diagnostics.|active|
runtimeMetricsMonitor.intervalSeconds|integer|60|Monitors|Seconds between runtime metrics checks.|active|
runtimeMetricsMonitor.memoryWarningPercent|integer|90|Monitors|Memory usage warning percentage when metrics.k8s.io is available.|active|
runtimeMetricsMonitor.memoryCriticalPercent|integer|100|Monitors|Memory usage critical percentage when metrics.k8s.io is available.|active|
runtimeMetricsMonitor.cpuWarningPercent|integer|90|Monitors|CPU usage warning percentage when metrics.k8s.io is available.|active|
runtimeMetricsMonitor.cpuCriticalPercent|integer|100|Monitors|CPU usage critical percentage when metrics.k8s.io is available.|active|
clusterAutoscalerMonitor.enabled|boolean|true|Monitors|Watch built-in cluster-autoscaler evidence from Kubernetes resources and events.|active|
tlsMonitor.threshold|integer|30|Monitors|Days before certificate expiry to warn.|active|
tlsMonitor.criticalThreshold|integer|3|Monitors|Days before certificate expiry for a critical alert.|active|
controlPlaneMonitor.intervalSeconds|integer|30|Monitors|Seconds between API and control-plane health checks.|active|
controlPlaneMonitor.apiServerLatencyWarningMs|integer|1000|Monitors|API readyz latency warning threshold in milliseconds.|active|
controlPlaneMonitor.failureThreshold|integer|2|Monitors|Consecutive control-plane failures before alerting.|active|
controlPlaneMonitor.recoveryThreshold|integer|2|Monitors|Consecutive successful checks before resolving.|active|
kubeletTelemetryMonitor.enabled|boolean|true|Monitors|Read built-in kubelet telemetry without an agent.|active|
kubeletTelemetryMonitor.intervalSeconds|integer|60|Monitors|Seconds between built-in kubelet telemetry sweeps.|active|
kubeletTelemetryMonitor.persistState|boolean|true|Monitors|Persist telemetry counters across restarts.|active|
kubeletTelemetryMonitor.failureThreshold|integer|2|Monitors|Consecutive kubelet telemetry failures before alerting.|active|
kubeletTelemetryMonitor.recoveryThreshold|integer|2|Monitors|Consecutive successful telemetry checks before resolving.|active|
kubeletTelemetryMonitor.memoryWarningPercent|float|90|Monitors|Kubelet memory usage warning threshold.|active|
kubeletTelemetryMonitor.memoryCriticalPercent|float|100|Monitors|Kubelet memory usage critical threshold.|active|
kubeletTelemetryMonitor.ephemeralStorageWarningPercent|float|90|Monitors|Ephemeral-storage usage warning threshold.|active|
kubeletTelemetryMonitor.ephemeralStorageCriticalPercent|float|95|Monitors|Ephemeral-storage usage critical threshold.|active|
kubeletTelemetryMonitor.cpuWarningPercent|float|90|Monitors|CPU usage warning threshold from kubelet telemetry.|active|
kubeletTelemetryMonitor.cpuCriticalPercent|float|100|Monitors|CPU usage critical threshold from kubelet telemetry.|active|
kubeletTelemetryMonitor.cpuThrottlingWarningPercent|float|25|Monitors|CPU throttling warning threshold.|active|
kubeletTelemetryMonitor.cpuThrottlingCriticalPercent|float|50|Monitors|CPU throttling critical threshold.|active|
kubeletTelemetryMonitor.psiWarningPercent|float|20|Monitors|Pressure stall warning threshold.|active|
kubeletTelemetryMonitor.psiCriticalPercent|float|50|Monitors|Pressure stall critical threshold.|active|
kubeletTelemetryMonitor.networkErrorRateWarning|float|1|Monitors|Network error rate warning threshold.|active|
kubeletTelemetryMonitor.networkErrorRateCritical|float|10|Monitors|Network error rate critical threshold.|active|
kubeletTelemetryMonitor.runtimeErrorRateWarning|float|1|Monitors|Container runtime error rate warning threshold.|active|
kubeletTelemetryMonitor.runtimeErrorRateCritical|float|10|Monitors|Container runtime error rate critical threshold.|active|
tlsMonitor.enabled|boolean|false|Monitors|Watch TLS certificates before expiry; reads certificate Secrets.|active|
activeProbeMonitor.enabled|boolean|false|Monitors|Run explicitly configured application probes.|active|
activeProbeMonitor.intervalSeconds|integer|30|Monitors|Seconds between active probe rounds.|active|
activeProbeMonitor.timeoutSeconds|integer|5|Monitors|Timeout for each active probe.|active|
activeProbeMonitor.failureThreshold|integer|3|Monitors|Consecutive probe failures before alerting.|active|
activeProbeMonitor.recoveryThreshold|integer|2|Monitors|Consecutive successes before resolving a probe incident.|active|
activeProbeMonitor.autoServices|boolean|false|Monitors|Probe discoverable Service ports automatically; opt in to avoid unexpected traffic.|active|
activeProbeMonitor.http|json|[]|Monitors|JSON array of HTTP probe targets with optional paths, headers, and latency limits.|active|
activeProbeMonitor.tcp|json|[]|Monitors|JSON array of TCP probe targets.|active|
activeProbeMonitor.dns|json|[]|Monitors|JSON array of DNS probe targets.|active|
upgrader.disableUpdateCheck|boolean|false|Operations|Disable the update notification.|active|
telemetry.enabled|boolean|true|Operations|Send the anonymous adoption heartbeat.|active|
maintenance.enabled|boolean|true|Operations|Honor maintenance annotations while preserving cluster-level alerts.|active|
maintenance.annotation|string|kwatch.io/maintenance|Operations|Annotation that marks deliberate maintenance on a resource.|active|
maintenance.untilAnnotation|string|kwatch.io/maintenance-until|Operations|Optional annotation containing the maintenance expiry timestamp.|active|
healthCheck.diagnostics|boolean|false|Operations|Expose diagnostic endpoints such as incidents and test-alert.|active|
healthCheck.pprof|boolean|false|Operations|Expose Go profiling endpoints; keep disabled in production.|active|
app.clusterName|string|empty|Operations|Cluster name shown in notifications.|active|
app.proxyURL|string|empty|Operations|Optional proxy for outbound provider requests.|active|
app.disableStartupMessage|boolean|false|Operations|Disable the startup notification.|active|
app.logFormatter|string|text|Operations|Log output format: text or json.|active|
app.insecureSkipTLSVerify|boolean|false|Security|Skip TLS verification for outbound providers; strongly discouraged.|active|
app.caBundlePath|string|empty|Security|Path to a mounted PEM bundle for outbound provider TLS.|active|
healthCheck.enabled|boolean|true|Operations|Expose the built-in health endpoint.|active|
healthCheck.port|integer|8060|Operations|Port for health and optional diagnostic endpoints.|active|
healthCheck.diagnosticsToken|string|empty|Security|Optional Bearer token required for diagnostic endpoints.|active|
crd.enabled|boolean|true|Operations|Watch KwatchConfig and supported CRD status conditions for live changes; enabled by the interactive installer after installing the CRD.|active|
crd.failureConditions|list|empty|Operations|Additional CRD condition rules such as Ready=False or Degraded=True.|active|
crd.graphReferences|list|empty|Operations|Optional CRD references used by dependency and impact analysis.|active|
auditLog.enabled|boolean|true|Operations|Write structured incident lifecycle records to the configured audit sink.|active|
auditLog.output|string|stdout|Operations|Audit output: stdout or a supported output sink.|active|
templates|json|{}|Operations|JSON map of optional reason-specific message templates.|active|
runbooks|json|{}|Operations|JSON map of reason-to-runbook URLs.|active|
silences|json|[]|Noise reduction|JSON array of scoped silence rules.|active|
ignoreContainerNames|list|legacy|Compatibility|Legacy container suppression field.|deprecated|silences
ignorePodNames|list|legacy|Compatibility|Legacy pod-name suppression field.|deprecated|silences
ignoreLogPatterns|list|legacy|Compatibility|Legacy log suppression field.|deprecated|silences
ignoreContainerMessages|list|legacy|Compatibility|Legacy container-message suppression field.|deprecated|silences
ignoreNodeReasons|list|legacy|Compatibility|Legacy node-reason suppression field.|deprecated|silences
ignoreNodeMessages|list|legacy|Compatibility|Legacy node-message suppression field.|deprecated|silences
features.disabled|list|null|Product control|Stable feature IDs to disable individually without disabling the owning monitor.|active|
